Team,Season,MWDT,MWDT2,WinPct_OLD,AvgAge,NetRating,Payroll,Continuity,Payroll_raw,WinPct_REAL
Detroit Pistons,2024,133.7956204379562,17901.26804837765,0.68,25.2,-9.09,"$139,233,014",0.69,139233014.0,0.171
Detroit Pistons,2025,286.4492753623188,82053.18735559755,0.71,24.7,1.93,"$140,501,660",0.51,140501660.0,0.537
Golden State Warriors,2023,334.4915254237288,111884.580580293,0.75,27.6,1.75,"$192,386,134",0.73,192386134.0,0.537
Golden State Warriors,2024,297.4436090225564,88472.7005483634,0.44,28.2,2.72,"$209,354,737",0.68,209354737.0,0.561
Golden State Warriors,2025,206.7934782608696,42763.54265122873,0.92,26.6,3.28,"$170,316,619",0.71,170316619.0,0.585
Houston Rockets,2023,302.2900763358779,91379.29025115087,0.63,26.3,-8.02,"$137,579,793",0.75,137579793.0,0.268
Houston Rockets,2024,350.5309734513274,122871.9633487352,0.72,26.0,1.0,"$149,356,730",0.44,149356730.0,0.5
Houston Rockets,2025,339.2241379310345,115073.0157550535,0.92,24.0,4.34,"$163,038,023",0.92,163038023.0,0.634
Indiana Pacers,2023,248.1761006289308,61591.37692338119,0.75,26.1,-3.16,"$125,706,114",0.63,125706114.0,0.427
Indiana Pacers,2024,257.1895424836601,66146.46076295443,0.78,25.7,2.99,"$148,722,330",0.72,148722330.0,0.573
Indiana Pacers,2025,262.7814569536424,69054.094118679,0.67,25.8,2.3,"$169,543,082",0.92,169543082.0,0.61
Knicks,2023,352.7433628318584,124427.8800219281,0.76,27.2,3.03,"$148,987,936",0.76,148987936.0,0.573
Knicks,2024,193.4313725490196,37415.69588619762,0.72,26.9,4.89,"$164,990,518",0.72,164990518.0,0.61
Knicks,2025,242.0121951219512,58569.90258774538,0.57,25.5,4.09,"$191,906,878",0.57,191906878.0,0.622
Los Angeles Lakers,2023,201.40625,40564.4775390625,0.85,26.0,0.55,"$169,391,473",0.41,169391473.0,0.524
Los Angeles Lakers,2024,235.1479289940828,55294.54851020622,0.69,26.9,0.47,"$169,876,920",0.69,169876920.0,0.573
Los Angeles Lakers,2025,202.041884816754,40820.92322030647,0.76,26.8,1.22,"$192,057,940",0.71,192057940.0,0.61
Memphis Grizzlies,2023,278.4507042253521,77534.79468359453,0.92,25.2,3.93,"$127,139,520",0.85,127139520.0,0.622
Memphis Grizzlies,2024,114.3666666666667,13079.73444444444,0.73,25.2,-7.18,"$162,649,524",0.69,162649524.0,0.329
Memphis Grizzlies,2025,204.3258426966292,41749.04999368767,0.74,24.4,4.72,"$165,903,638",0.76,165903638.0,0.585
Miami Heat,2023,267.6351351351352,71628.56555880206,0.87,27.7,-0.41,"$151,408,266",0.92,151408266.0,0.537
Miami Heat,2024,236.9879518072289,56163.28930178545,0.64,27.5,1.64,"$177,143,542",0.73,177143542.0,0.561
Miami Heat,2025,237.9640718562874,56626.89949442433,0.66,28.0,0.54,"$176,102,077",0.74,176102077.0,0.451
Milwaukee Bucks,2023,221.4545454545455,49042.11570247934,0.64,29.2,3.49,"$182,930,771",0.87,182930771.0,0.707
Milwaukee Bucks,2024,296.044776119403,87642.50946758743,0.92,26.9,2.64,"$187,346,674",0.64,187346674.0,0.598
Milwaukee Bucks,2025,205.7291666666666,42324.49001736111,0.73,29.7,2.47,"$182,559,432",0.66,182559432.0,0.585
Minnesota Timberwolves,2023,242.1875,58654.78515625,0.52,26.0,0.02,"$145,793,656",0.64,145793656.0,0.512
Minnesota Timberwolves,2024,286.6666666666667,82177.7777777778,0.73,26.5,6.65,"$166,434,327",0.92,166434327.0,0.683
Minnesota Timberwolves,2025,325.0819672131148,105678.2854071486,0.69,25.9,5.19,"$203,708,244",0.73,203708244.0,0.598
New Orleans Pelicans,2023,318.7096774193548,101575.8584807492,0.87,25.7,1.88,"$148,360,910",0.87,148360910.0,0.512
New Orleans Pelicans,2024,285.5797101449276,81555.77084646084,0.89,26.4,4.61,"$167,403,924",0.89,167403924.0,0.598
New Orleans Pelicans,2025,155.9493670886076,24320.20509533729,0.49,26.3,-9.62,"$172,778,396",0.49,172778396.0,0.256
Oklahoma,2023,301.3934426229508,90838.00725611395,0.71,25.6,1.03,"$148,856,338",0.71,148856338.0,0.488
Oklahoma,2024,247.4683544303797,61240.58644448005,0.74,24.7,7.31,"$162,515,272",0.74,162515272.0,0.695
Oklahoma,2025,346.1607142857143,119827.2401147959,0.79,23.6,12.72,"$166,418,720",0.79,166418720.0,0.829
Orlando Magic,2023,297.0992366412213,88267.95641279644,0.71,24.7,-2.57,"$126,107,324",0.71,126107324.0,0.415
Orlando Magic,2024,346.8421052631579,120299.4459833795,0.87,25.5,2.1,"$132,643,598",0.87,132643598.0,0.573
Orlando Magic,2025,340.8849557522124,116202.5530581878,0.77,24.2,-0.08,"$152,308,863",0.77,152308863.0,0.5
Philadelphia 76ers,2023,271.9178082191781,73939.29442672171,0.69,28.7,4.35,"$126,107,324",0.69,126107324.0,0.659
Philadelphia 76ers,2024,178.2790697674419,31783.4267171444,0.51,26.5,3.02,"$132,643,598",0.51,132643598.0,0.573
Philadelphia 76ers,2025,143.6693548387097,20640.88351977107,0.38,26.9,-6.42,"$152,308,863",0.38,152308863.0,0.293
Phoenix Suns,2023,251.7647058823529,63385.46712802768,0.69,28.0,2.12,"$176,042,453",0.69,176042453.0,0.549
Phoenix Suns,2024,214.9180327868852,46189.76081698469,0.32,28.4,3.09,"$193,838,882",0.32,193838882.0,0.598
Phoenix Suns,2025,245.7763975155279,60406.03757571081,0.58,27.9,-3.04,"$220,708,856",0.58,220708856.0,0.439
Portland Trail Blazers,2023,211.6129032258065,44780.02081165453,0.63,24.6,-4.11,"$144,997,250",0.63,144997250.0,0.402
Portland Trail Blazers,2024,208.9247311827957,43649.54329980345,0.42,24.3,-9.26,"$165,263,993",0.42,165263993.0,0.256
Portland Trail Blazers,2025,283.7410071942446,80508.95916360438,0.82,24.9,-2.8,"$167,012,048",0.82,167012048.0,0.439
Sacramento Kings,2023,235.3571428571429,55392.98469387755,0.64,26.7,2.49,"$139,423,615",0.64,139423615.0,0.585
Sacramento Kings,2024,267.972972972973,71809.5142439737,0.9,27.7,1.67,"$153,564,021",0.9,153564021.0,0.561
Sacramento Kings,2025,214.4324324324324,45981.2680788897,0.67,26.0,0.51,"$167,811,057",0.67,167811057.0,0.488
San Antonio Spurs,2023,186.5573770491804,34803.65493147004,0.63,23.7,2.49,"$104,545,376",0.63,104545376.0,0.268
San Antonio Spurs,2024,260.1973684210527,67702.670533241,0.82,25.5,1.67,"$142,867,770",0.82,142867770.0,0.268
San Antonio Spurs,2025,258.8157894736842,66985.61288088643,0.6,24.0,0.51,"$162,395,330",0.6,162395330.0,0.415
Toronto Raptors,2023,250.506329113924,62753.42092613363,0.86,26.5,1.51,"$150,992,313",0.86,150992313.0,0.5
Toronto Raptors,2024,155.9016393442623,24305.32115022843,0.5,25.6,-6.54,"$163,054,678",0.5,163054678.0,0.305
Toronto Raptors,2025,169.0094339622642,28564.18876824493,0.6,26.1,-4.41,"$170,516,134",0.6,170516134.0,0.366
Utah Jazz,2023,209.6791443850268,43965.34359003689,0.25,24.6,-1.02,"$148,738,241",0.25,148738241.0,0.451
Utah Jazz,2024,225.8285714285715,50998.54367346939,0.68,24.8,-5.01,"$133,738,448",0.68,133738448.0,0.378
Utah Jazz,2025,215.4437869822485,46416.02534925248,0.64,26.1,-9.37,"$154,060,898",0.64,154060898.0,0.207
Washington Wizards,2023,216.5745856353591,46904.5511431275,0.72,25.9,-1.28,"$152,008,934",0.72,152008934.0,0.427
Washington Wizards,2024,191.7647058823529,36773.70242214532,0.47,25.1,-9.1,"$150,856,313",0.47,150856313.0,0.183
Washington Wizards,2025,193.6453201970444,37498.51003421583,0.51,26.2,-12.33,"$173,806,822",0.51,173806822.0,0.22
